Year,Cause Name,State,Deaths
2011,Homicide,Mississippi,312
2011,Homicide,Missouri,419
2011,Homicide,Montana,27
2011,Homicide,Nebraska,67
2011,Homicide,Nevada,130
2011,Homicide,New Hampshire,22
2011,Homicide,New Jersey,413
2011,Homicide,New Mexico,148
2011,Homicide,New York,830
2011,Homicide,North Carolina,532
2011,Homicide,North Dakota,17
2011,Homicide,Ohio,618
2011,Homicide,Oklahoma,261
2011,Homicide,Oregon,109
2011,Homicide,Pennsylvania,681
2011,Homicide,Rhode Island,19
2011,Homicide,South Carolina,355
2011,Homicide,South Dakota,25
2011,Homicide,Tennessee,444
2011,Homicide,Texas,1266
2011,Homicide,United States,16238
2011,Homicide,Utah,57
2011,Homicide,Vermont,
2011,Homicide,Virginia,336
2011,Homicide,Washington,180
2011,Homicide,West Virginia,101
2011,Homicide,Wisconsin,148
2011,Homicide,Wyoming,23
2012,Homicide,Alabama,405
2012,Homicide,Alaska,38
2012,Homicide,Arizona,394
2012,Homicide,Arkansas,238
2012,Homicide,California,2010
2012,Homicide,Colorado,205
2012,Homicide,Connecticut,152
2012,Homicide,Delaware,62
2012,Homicide,District of Columbia,82
2012,Homicide,Florida,1200
2012,Homicide,Georgia,657
2012,Homicide,Hawaii,22
2012,Homicide,Idaho,34
2012,Homicide,Illinois,832
2012,Homicide,Indiana,345
2012,Homicide,Iowa,63
2012,Homicide,Kansas,103
2012,Homicide,Kentucky,236
2012,Homicide,Louisiana,550
2012,Homicide,Maine,30
2012,Homicide,Maryland,408
2012,Homicide,Massachusetts,133
2012,Homicide,Michigan,734
2012,Homicide,Minnesota,105
2012,Homicide,Mississippi,293
2012,Homicide,Missouri,424
2012,Homicide,Montana,24
2012,Homicide,Nebraska,64
2012,Homicide,Nevada,123
2012,Homicide,New Hampshire,16
2012,Homicide,New Jersey,405
2012,Homicide,New Mexico,133
2012,Homicide,New York,730
2012,Homicide,North Carolina,567
2012,Homicide,North Dakota,16
2012,Homicide,Ohio,632
2012,Homicide,Oklahoma,270
2012,Homicide,Oregon,110
2012,Homicide,Pennsylvania,698
2012,Homicide,Rhode Island,30
2012,Homicide,South Carolina,373
2012,Homicide,South Dakota,20
2012,Homicide,Tennessee,471
2012,Homicide,Texas,1324
2012,Homicide,United States,16688
2012,Homicide,Utah,46
2012,Homicide,Vermont,
2012,Homicide,Virginia,335
2012,Homicide,Washington,227
2012,Homicide,West Virginia,103
2012,Homicide,Wisconsin,187
2012,Homicide,Wyoming,20
2013,Homicide,Alabama,417
2013,Homicide,Alaska,43
2013,Homicide,Arizona,389
2013,Homicide,Arkansas,212
2013,Homicide,California,1890
2013,Homicide,Colorado,184
2013,Homicide,Connecticut,100
2013,Homicide,Delaware,52
2013,Homicide,District of Columbia,90
2013,Homicide,Florida,1150
2013,Homicide,Georgia,641
2013,Homicide,Hawaii,33
2013,Homicide,Idaho,31
2013,Homicide,Illinois,792
2013,Homicide,Indiana,400
2013,Homicide,Iowa,60
2013,Homicide,Kansas,117
2013,Homicide,Kentucky,202
2013,Homicide,Louisiana,552
2013,Homicide,Maine,30
2013,Homicide,Maryland,421
2013,Homicide,Massachusetts,144
2013,Homicide,Michigan,635
2013,Homicide,Minnesota,131
2013,Homicide,Mississippi,291
2013,Homicide,Missouri,392
2013,Homicide,Montana,33
2013,Homicide,Nebraska,75
2013,Homicide,Nevada,151
2013,Homicide,New Hampshire,22
2013,Homicide,New Jersey,419
2013,Homicide,New Mexico,135
2013,Homicide,New York,686
2013,Homicide,North Carolina,563
2013,Homicide,North Dakota,13
2013,Homicide,Ohio,648
2013,Homicide,Oklahoma,258
2013,Homicide,Oregon,90
2013,Homicide,Pennsylvania,634
2013,Homicide,Rhode Island,31
2013,Homicide,South Carolina,318
2013,Homicide,South Dakota,20
2013,Homicide,Tennessee,405
2013,Homicide,Texas,1354
2013,Homicide,United States,16121
2013,Homicide,Utah,53
2013,Homicide,Vermont,10
2013,Homicide,Virginia,333
2013,Homicide,Washington,204
2013,Homicide,West Virginia,74
2013,Homicide,Wisconsin,176
2013,Homicide,Wyoming,17
2014,Homicide,Alabama,374
2014,Homicide,Alaska,37
2014,Homicide,Arizona,322
2014,Homicide,Arkansas,217
2014,Homicide,California,1813
2014,Homicide,Colorado,177
2014,Homicide,Connecticut,100
2014,Homicide,Delaware,57
2014,Homicide,District of Columbia,97
2014,Homicide,Florida,1159
2014,Homicide,Georgia,658
2014,Homicide,Hawaii,30
2014,Homicide,Idaho,36
2014,Homicide,Illinois,792
2014,Homicide,Indiana,364
2014,Homicide,Iowa,78
2014,Homicide,Kansas,104
2014,Homicide,Kentucky,203
2014,Homicide,Louisiana,538
2014,Homicide,Maine,23
2014,Homicide,Maryland,387
2014,Homicide,Massachusetts,133
2014,Homicide,Michigan,589
2014,Homicide,Minnesota,101
2014,Homicide,Mississippi,332
2014,Homicide,Missouri,441
2014,Homicide,Montana,30
2014,Homicide,Nebraska,63
2014,Homicide,Nevada,176
2014,Homicide,New Hampshire,17
2014,Homicide,New Jersey,372
2014,Homicide,New Mexico,135
2014,Homicide,New York,662
2014,Homicide,North Carolina,551
2014,Homicide,North Dakota,15
2014,Homicide,Ohio,578
2014,Homicide,Oklahoma,250
2014,Homicide,Oregon,99
2014,Homicide,Pennsylvania,620
2014,Homicide,Rhode Island,27
2014,Homicide,South Carolina,363
2014,Homicide,South Dakota,26
2014,Homicide,Tennessee,417
2014,Homicide,Texas,1389
2014,Homicide,United States,15872
2014,Homicide,Utah,61
2014,Homicide,Vermont,16
2014,Homicide,Virginia,339
2014,Homicide,Washington,211
2014,Homicide,West Virginia,103
2014,Homicide,Wisconsin,166
2014,Homicide,Wyoming,24
2015,Homicide,Alabama,473
2015,Homicide,Alaska,62
2015,Homicide,Arizona,364
2015,Homicide,Arkansas,217
2015,Homicide,California,1987
2015,Homicide,Colorado,206
2015,Homicide,Connecticut,124
2015,Homicide,Delaware,65
2015,Homicide,District of Columbia,136
2015,Homicide,Florida,1208
2015,Homicide,Georgia,738
2015,Homicide,Hawaii,31
2015,Homicide,Idaho,33
2015,Homicide,Illinois,863
2015,Homicide,Indiana,389
2015,Homicide,Iowa,73
2015,Homicide,Kansas,132
2015,Homicide,Kentucky,250
2015,Homicide,Louisiana,569
2015,Homicide,Maine,22
2015,Homicide,Maryland,596
2015,Homicide,Massachusetts,144
2015,Homicide,Michigan,597
2015,Homicide,Minnesota,147
2015,Homicide,Mississippi,325
2015,Homicide,Missouri,547
2015,Homicide,Montana,38
2015,Homicide,Nebraska,75
2015,Homicide,Nevada,191
2015,Homicide,New Hampshire,18
2015,Homicide,New Jersey,388
2015,Homicide,New Mexico,157
2015,Homicide,New York,671
2015,Homicide,North Carolina,593
2015,Homicide,North Dakota,22
2015,Homicide,Ohio,669
2015,Homicide,Oklahoma,324
2015,Homicide,Oregon,138
2015,Homicide,Pennsylvania,673
2015,Homicide,Rhode Island,28
2015,Homicide,South Carolina,448
2015,Homicide,South Dakota,35
2015,Homicide,Tennessee,460
2015,Homicide,Texas,1538
2015,Homicide,United States,17793
2015,Homicide,Utah,60
2015,Homicide,Vermont,16
2015,Homicide,Virginia,374
2015,Homicide,Washington,239
2015,Homicide,West Virginia,80
2015,Homicide,Wisconsin,243
2015,Homicide,Wyoming,17
,,,
1999,Suicide,Alabama,555
1999,Suicide,Alaska,96
1999,Suicide,Arizona,766
1999,Suicide,Arkansas,336
1999,Suicide,California,3077
1999,Suicide,Colorado,574
1999,Suicide,Connecticut,274
1999,Suicide,Delaware,86
1999,Suicide,District of Columbia,30
1999,Suicide,Florida,2029
1999,Suicide,Georgia,873
1999,Suicide,Hawaii,136
1999,Suicide,Idaho,181
1999,Suicide,Illinois,1020
1999,Suicide,Indiana,628
1999,Suicide,Iowa,305
